reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
15,35,13,0,0,0,1,14.339458992006257,15.171773848007433,15.171773848007433,15.353507491992787,l,5.703964606975205,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
78,80,162,0,1,1,6,20.900094691023696,21.88765708002029,21.88765708002029,21.904078539984766,t,1.6243026530137286,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
40,55,62,0,2,2,3,23.527628764975816,24.52827209001407,24.52827209001407,24.52827209001407,t,4.929729225987103,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
27,50,21,0,3,3,2,29.473440298985224,30.460348010004964,30.460348010004964,30.4769993799855,l,2.192654468002729,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
11,30,7,0,4,4,0,32.669555064989254,33.669357921986375,33.669357921986375,33.669357921986375,l,4.314339561969973,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
67,75,119,0,5,5,5,37.99939359497512,38.98376587498933,38.98376587498933,39.000464057025965,t,2.8609643929521553,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
49,80,89,0,6,6,4,41.860592514975,42.8608251119731,42.8608251119731,42.8608251119731,l,2.1917178650037386,477948,001,2022-10-27_20h04.44.005,Delay Discounting,2022.2.4,59.76463075948584,
